Date,usgg2yr index,GTEUR2Y Govt,GTGBP2Y Govt,GTJPY2Y Govt,IRSWN2 index,GTCNY2Y Govt,GTCAD2Y Govt,GTBRL2Y Govt,GTRUB2Y Govt,GTCZK2Y Govt,GTAUD2Y govt,GTNZD2Y govt,GTCHF2Y govt,GTSEK2Y govt,NKSW2 index
2007-05-31,4.9081,4.394,5.746,0.984,7.525,2.959,4.581,#N/A N/A,#N/A N/A,3.463,6.257,7.208,2.812,4.027,5.5999
2007-06-29,4.8582,4.462,5.771,1.025,7.75,3.249,4.589,#N/A N/A,#N/A N/A,3.803,6.457,7.326,2.888,4.214,5.78
2007-07-31,4.5174,4.299,5.559,0.986,6.7,3.292,4.623,#N/A N/A,#N/A N/A,3.815,6.427,7.828,2.821,4.318,5.7355
2007-08-31,4.132,4.013,5.362,0.88,6.9,3.264,4.35,#N/A N/A,#N/A N/A,3.834,6.25,7.127,2.613,4.129,5.6697
2007-09-28,3.9835,4.028,5.07,0.87,6.05,3.538,4.081,#N/A N/A,#N/A N/A,3.847,6.433,6.932,2.508,4.091,5.655
2007-10-31,3.9452,4.056,5.102,0.79,5.575,3.617,4.159,#N/A N/A,#N/A N/A,3.853,6.72,7.161,2.495,4.197,5.6996
2007-11-30,2.9947,3.831,4.522,0.77,5.15,3.984,3.671,#N/A N/A,#N/A N/A,4.027,6.584,7.419,2.087,3.981,5.665
2007-12-31,3.0466,3.964,4.359,0.715,5.18,3.943,3.749,#N/A N/A,#N/A N/A,4.24,6.852,7.362,2.217,4.125,5.745
2008-01-31,2.0929,3.373,4.292,0.55,3.925,3.837,3.179,#N/A N/A,#N/A N/A,3.907,6.645,7.255,1.894,3.56,5.415
2008-02-29,1.6158,3.16,4.069,0.565,3.575,3.615,2.783,#N/A N/A,#N/A N/A,3.886,6.72,#N/A N/A,1.952,3.735,5.585
2008-03-31,1.5824,3.431,3.829,0.575,4.125,3.615,2.624,#N/A N/A,#N/A N/A,4.222,6.201,#N/A N/A,1.538,3.858,5.89
2008-04-30,2.2537,3.757,4.418,0.785,4.65,3.587,2.746,#N/A N/A,#N/A N/A,4.14,6.471,#N/A N/A,2.484,4.011,6.025
2008-05-30,2.6411,4.316,5.074,0.915,4.975,3.612,3.013,#N/A N/A,#N/A N/A,4.416,6.842,#N/A N/A,2.573,4.437,6.465
2008-06-30,2.6164,4.597,5.2265,0.805,7.65,3.736,3.245,#N/A N/A,#N/A N/A,4.607,6.8058,#N/A N/A,2.754,4.67,6.849
2008-07-31,2.5079,4.26,4.8029,0.79,6.75,3.796,2.941,#N/A N/A,#N/A N/A,3.832,6.3127,#N/A N/A,2.549,4.535,6.5975
2008-08-29,2.3669,4.111,4.5047,0.726,6.2,3.651,2.709,#N/A N/A,#N/A N/A,3.713,5.7101,#N/A N/A,2.322,4.32,6.426
2008-09-30,1.9599,3.476,4.0117,0.764,4.95,3.301,2.777,#N/A N/A,#N/A N/A,3.582,5.106,#N/A N/A,1.396,3.745,6.31
2008-10-31,1.548,2.542,2.9254,0.553,8.45,2.571,2.02,#N/A N/A,#N/A N/A,4.055,4.2914,#N/A N/A,1.14,2.743,4.6025
2008-11-28,0.9807,2.188,2.2063,0.601,7.25,1.959,1.703,#N/A N/A,#N/A N/A,3.706,3.1929,#N/A N/A,1.187,2.201,3.8155
2008-12-31,0.7643,1.755,1.0483,0.385,4.75,1.208,1.095,#N/A N/A,#N/A N/A,3.444,2.7426,#N/A N/A,0.571,1.5,2.895
2009-01-30,0.9463,1.532,1.501,0.406,4,1.203,1.41,#N/A N/A,#N/A N/A,2.823,2.4141,#N/A N/A,0.606,1.477,2.715
2009-02-27,0.9701,1.311,1.4396,0.405,4.8,1.343,1.162,#N/A N/A,#N/A N/A,3.164,2.785,#N/A N/A,0.624,1.07,2.77
2009-03-31,0.796,1.235,1.1928,0.42,5.5,1.315,1.078,#N/A N/A,#N/A N/A,3.161,2.8374,#N/A N/A,0.532,1.032,2.67
2009-04-30,0.8987,1.337,1.0548,0.392,4.3,1.325,0.988,#N/A N/A,#N/A N/A,2.913,3.1419,#N/A N/A,0.484,1.096,2.87
2009-05-29,0.9146,1.419,1.0793,0.359,3.625,1.211,1.24,#N/A N/A,#N/A N/A,2.967,3.5034,#N/A N/A,0.47,1.224,2.8325
2009-06-30,1.1091,1.365,1.3329,0.32,4.15,1.23,1.212,#N/A N/A,#N/A N/A,2.883,4.0114,#N/A N/A,0.477,1.157,2.7525
2009-07-31,1.1113,1.263,1.2331,0.285,3.65,1.7,1.415,#N/A N/A,#N/A N/A,2.705,4.2557,#N/A N/A,0.343,0.961,2.9025
2009-08-31,0.9683,1.244,0.8668,0.254,3.5,1.654,1.28,#N/A N/A,#N/A N/A,2.405,4.5567,#N/A N/A,0.402,0.983,3.3675
2009-09-30,0.9446,1.265,0.8819,0.25,3.675,1.635,1.269,#N/A N/A,#N/A N/A,2.346,4.4092,#N/A N/A,0.454,0.839,3.4575
2009-10-30,0.8891,1.288,0.857,0.264,3.1,1.663,1.39,#N/A N/A,#N/A N/A,2.03,4.689,4.318,0.521,0.659,3.4475
2009-11-30,0.6632,1.257,1.1752,0.234,2.55,1.623,1.101,#N/A N/A,#N/A N/A,1.819,4.3182,4.028,0.327,0.534,3.325
2009-12-31,1.1354,1.331,1.3149,0.152,2.75,1.641,1.475,#N/A N/A,#N/A N/A,1.494,4.4017,4.282,0.323,1.714,3.4925
2010-01-29,0.8118,1.119,1.255,0.164,3,2.234,1.187,#N/A N/A,#N/A N/A,1.7,4.2074,4.002,0.306,1.614,3.415
2010-02-26,0.8118,0.955,0.9437,0.165,3.1,2.328,1.284,#N/A N/A,#N/A N/A,1.378,4.5545,3.68,0.219,1.583,3.155
2010-03-31,1.0158,0.958,1.1574,0.181,3.3,1.929,1.737,#N/A N/A,#N/A N/A,1.232,4.9891,3.754,0.441,1.537,3.19
2010-04-30,0.9603,0.771,1.13,0.17,3.3,1.861,1.908,#N/A N/A,6.39,1.063,4.9459,3.879,0.402,1.369,3.175
2010-05-31,0.7658,0.514,0.8836,0.17,3.58,1.975,1.823,#N/A N/A,6.22,1.264,4.4241,3.682,0.201,1.265,3.115
2010-06-30,0.6014,0.6,0.7459,0.155,3.9,2.248,1.393,#N/A N/A,5.96,1.841,4.4376,3.798,0.262,1.424,3.12
2010-07-30,0.5461,0.784,0.777,0.155,4.55,2.222,1.469,11.5177,5.74,1.722,4.561,#N/A N/A,0.365,1.446,3.1108
2010-08-31,0.4694,0.59,0.6462,0.126,4.6,2.156,1.206,11.3472,5.84,1.749,4.2358,#N/A N/A,0.307,1.291,2.9885
2010-09-30,0.4222,0.834,0.6531,0.141,5,2.189,1.378,#N/A N/A,5.99,1.644,4.7661,#N/A N/A,0.446,1.411,3.1095
2010-10-29,0.3357,0.989,0.6771,0.145,4.8,2.378,1.414,11.8598,5.8,1.737,4.814,#N/A N/A,0.504,1.395,2.905
2010-11-30,0.4528,0.856,0.913,0.2,4.9306,3.042,1.615,12.405,5.88,1.692,4.8099,#N/A N/A,0.433,1.578,2.9115
2010-12-31,0.5934,0.864,1.0972,0.18,5.5016,3.393,1.68,12.4747,6.32,1.798,5.1653,#N/A N/A,0.426,1.839,3.135
2011-01-31,0.562,1.368,1.2909,0.205,6.35,3.303,1.663,12.9722,#N/A N/A,1.603,4.9028,#N/A N/A,0.608,1.953,3.3695
2011-02-28,0.6802,1.511,1.3893,0.25,6.145,3.287,1.841,12.7971,6.27,1.624,4.9663,#N/A N/A,0.567,2.193,3.5148
2011-03-31,0.8211,1.787,1.3495,0.21,6.15,3.234,1.826,12.7627,5.675,1.667,4.9155,#N/A N/A,0.674,2.284,3.6305
2011-04-29,0.6013,1.767,1.1961,0.205,6.4817,3.155,1.704,12.75915,5.54,1.581,4.959,#N/A N/A,0.706,2.753,3.605
2011-05-31,0.4685,1.601,0.9141,0.184,6.05,3.181,1.537,12.5648,5.805,1.715,4.7965,#N/A N/A,0.464,2.505,3.5396
2011-06-30,0.4576,1.603,0.8207,0.17,5.6,3.437,1.591,12.76565,5.52,1.899,4.7373,3.185,0.254,2.309,3.6175
2011-07-29,0.3554,1.158,0.6271,0.15,4.88,3.737,1.393,12.9071,5.74,1.834,4.3958,3.385,0.126,1.983,3.425
2011-08-31,0.1995,0.714,0.5956,0.135,3.7,3.851,1.081,11.33625,6.285,1.343,3.7493,3.061,-0.01,1.461,3.23
2011-09-30,0.243,0.547,0.5722,0.142,3.9,3.675,0.881,10.9387,7.31,1.334,3.6668,2.873,-0.058,1.177,2.785
2011-10-31,0.2382,0.536,0.5217,0.147,4,#N/A N/A,0.993,10.78705,7.08,1.346,3.9898,2.793,-0.015,1.302,3.0295
2011-11-30,0.2539,0.331,0.4506,0.136,4.28,3.063,1.004,9.9992,7.02,1.803,3.2148,2.578,-0.01,0.824,2.847
2011-12-30,0.2391,0.139,0.3194,0.131,5.45,2.839,0.953,10.5746,7.03,1.694,3.2803,#N/A N/A,-0.066,0.83,2.745
2012-01-31,0.2147,0.156,0.3521,0.123,5.58,2.869,0.952,10.06785,6.8,1.341,3.1738,#N/A N/A,-0.014,0.873,2.645
2012-02-29,0.2932,0.188,0.4082,0.107,5.75,3.006,1.092,10.00595,6.735,1.277,3.62,#N/A N/A,-0.031,1.026,2.805
2012-03-30,0.3287,0.204,0.415,0.113,5.815,2.856,1.194,9.83735,6.77,1.296,3.4693,#N/A N/A,0.003,1.265,2.7475
2012-04-30,0.2559,0.076,0.445,0.103,6,2.9,1.333,9.01855,6.735,1.462,3.0063,#N/A N/A,-0.059,1.141,2.789
2012-05-31,0.2618,0.007,0.2278,0.101,5.9,2.431,1.061,8.501,7.23,1.034,2.2155,#N/A N/A,-0.333,0.765,2.6348
2012-06-29,0.3011,0.12,0.2732,0.109,6.05,2.348,1.024,8.13395,7.21,0.82,2.4605,#N/A N/A,-0.342,0.984,2.57
2012-07-31,0.2113,-0.094,0.0801,0.098,5.85,2.342,1.075,8.0925,6.93,0.803,2.7005,#N/A N/A,-0.521,0.955,2.2646
2012-08-31,0.2205,-0.037,0.0709,0.09,6.05,2.792,1.137,8.1175,6.655,0.42,2.6503,#N/A N/A,-0.437,0.847,2.2875
2012-09-28,0.2304,0.018,0.1849,0.093,5.35,2.88,1.06,7.9475,6.805,0.414,2.465,#N/A N/A,-0.17,0.664,2.157
2012-10-31,0.2814,0.035,0.2602,0.095,5.6,2.948,1.072,7.8825,6.715,0.301,2.5678,#N/A N/A,-0.223,0.758,2.17
2012-11-30,0.2461,0.007,0.3106,0.093,5.6,3.04,1.064,7.875,6.58,0.151,2.671,#N/A N/A,-0.255,0.711,2.135
2012-12-31,0.2468,-0.021,0.3156,0.093,5.78,3.072,1.138,7.7475,6.23,0.319,2.6373,#N/A N/A,-0.277,0.73,2.095
2013-01-31,0.2618,0.266,0.3736,0.07,5.8,3.058,1.155,8.02,5.895,0.059,2.7628,2.6,-0.014,1.015,2.28
2013-02-28,0.2343,0.037,0.2378,0.044,6.15,3.072,0.947,8.325,5.745,0.172,2.6705,2.655,-0.067,1.022,2.125
2013-03-29,0.2421,-0.026,0.1993,0.047,6.25,3.047,0.998,8.51495,5.93,0.044,2.834,2.535,-0.081,0.999,1.9975
2013-04-30,0.2074,0.011,0.241,0.123,6,2.982,0.92,8.37,5.755,0.259,2.577,2.462,-0.152,0.823,1.86
2013-05-31,0.2933,0.067,0.3694,0.141,6,3.026,1.078,9.0625,6.09,0.339,2.538,2.566,-0.102,0.927,1.97
2013-06-28,0.3554,0.187,0.3897,0.127,6.05,3.054,1.219,9.9525,6.26,0.586,2.529,2.825,-0.066,1.123,1.9819
2013-07-31,0.3089,0.15,0.3134,0.112,7.6,3.442,1.154,10.1002,6.185,0.459,2.3255,2.822,-0.077,1.031,1.965
2013-08-30,0.3987,0.235,0.4108,0.103,8.05,3.773,1.186,11.15385,6.28,0.389,2.4358,2.965,-0.072,1.232,2.145
2013-09-30,0.3168,0.166,0.4373,0.103,7.4,3.813,1.191,10.8453,6.305,0.235,2.4535,3.015,-0.083,1.106,2.08
2013-10-31,0.305,0.113,0.4186,0.093,7.4,4.006,1.107,11.08205,6.2,0.252,2.677,3.04,-0.086,1.01,2
2013-11-29,0.2814,0.114,0.4537,0.084,7.9,4.226,1.094,11.46495,6.425,0.141,2.7083,3.103,-0.125,0.855,1.865
2013-12-31,0.3799,0.207,0.5599,0.089,7.85,4.327,1.134,12.17,6.475,0.098,2.6475,3.211,-0.107,1.077,1.9
2014-01-31,0.3277,0.066,0.4895,0.083,7.8,3.767,0.944,12.6975,6.93,0.153,2.6648,3.211,-0.17,0.942,1.8
2014-02-28,0.3169,0.127,0.4888,0.069,7.55,3.621,0.998,12.16095,6.915,0.096,2.6655,#N/A N/A,-0.126,0.898,1.94
2014-03-31,0.4183,0.158,0.7071,0.086,7.325,3.568,1.065,12.3219,7.915,0.043,2.8323,#N/A N/A,-0.102,0.769,1.975
2014-04-30,0.4104,0.14,0.6837,0.087,7.3,3.74,1.059,12.16895,8.575,0.251,2.7555,#N/A N/A,-0.069,0.631,1.98
2014-05-30,0.373,0.061,0.6626,0.085,6.65,3.718,1.048,11.6104,8.165,0.229,2.632,#N/A N/A,-0.102,0.525,1.977
2014-06-30,0.4567,0.025,0.8634,0.068,6.65,3.634,1.103,11.51835,7.965,0.272,2.5315,#N/A N/A,-0.009,0.438,1.775
2014-07-31,0.5276,0.022,0.8345,0.062,6.4,3.838,1.095,11.46285,9.155,0.215,2.5955,#N/A N/A,-0.029,0.275,1.71
2014-08-29,0.4882,-0.033,0.8339,0.07,6.55,3.889,1.102,11.38015,9.135,0.133,2.531,#N/A N/A,-0.061,0.173,1.862
2014-09-30,0.567,-0.083,0.8239,0.072,6.65,3.814,1.122,12.37585,8.945,0.08,2.583,#N/A N/A,-0.079,0.146,1.7775
2014-10-31,0.4914,-0.058,0.6514,0.028,5.95,3.43,1.021,12.4248,9.65,0.081,2.5203,#N/A N/A,-0.089,-0.02,1.53
2014-11-28,0.4685,-0.034,0.5097,0.003,5.55,3.216,0.992,12.3931,10.345,0.095,2.4105,#N/A N/A,-0.208,-0.025,1.48
2014-12-31,0.6645,-0.11,0.4417,-0.027,5.8,3.357,1.01,13.07835,15.735,0.124,2.17,#N/A N/A,-0.327,0.015,1.195
2015-01-30,0.4488,-0.187,0.3477,0.001,5.55,3.171,0.392,12.54,15.25,0.035,1.9643,3.135,-0.887,-0.063,0.982
2015-02-27,0.6184,-0.229,0.4307,0.009,5.95,3.124,0.47,12.7192,14.355,0.049,1.7925,3.18,-1.036,-0.153,1.13
2015-03-31,0.5551,-0.255,0.4198,0.036,6.45,3.316,0.503,13.3601,12.395,-0.001,1.7302,3.105,-0.863,-0.321,1.2
2015-04-30,0.567,-0.224,0.5321,0.007,6.775,3.039,0.674,13.39265,10.84,-0.03,1.9507,3.157,-0.892,-0.279,1.365
2015-05-29,0.6053,-0.229,0.506,-0.006,6.69,2.448,0.567,13.06745,10.785,0.056,1.8795,3.04,-0.958,-0.279,1.304
2015-06-30,0.6427,-0.229,0.5573,0,6.885,2.211,0.482,13.65605,10.745,-0.015,2.0155,2.841,-1.014,-0.28,1.275
2015-07-31,0.6606,-0.235,0.5644,0.002,6.865,2.621,0.407,13.17525,10.685,-0.221,1.8758,2.584,-0.862,-0.399,1.155
2015-08-31,0.7375,-0.207,0.6849,0.01,6.875,2.546,0.437,14.18745,11.72,0.007,1.7785,2.503,-0.786,-0.53,0.995
2015-09-30,0.6289,-0.255,0.5601,0.015,6.765,2.626,0.516,15.76785,11.23,-0.206,1.826,2.485,-0.818,-0.495,0.945
2015-10-30,0.724,-0.317,0.6234,0.002,6.75,2.628,0.573,15.7966,10.19,-0.244,1.741,2.54,-0.914,-0.468,0.94
2015-11-30,0.9304,-0.419,0.6009,-0.011,6.8,2.691,0.629,16.11995,10.305,-0.383,2.011,2.579,-1.195,-0.483,0.9
2015-12-31,1.0477,-0.349,0.6478,-0.014,6.875,2.477,0.478,16.45975,10.08,-0.346,2.016,2.642,-0.888,-0.451,0.915
2016-01-29,0.7737,-0.49,0.332,-0.08,6.645,2.553,0.419,15.23995,10.225,-0.163,1.893,2.403,-1.011,-0.563,0.885
2016-02-29,0.7737,-0.574,0.3749,-0.24,6.75,2.496,0.517,14.7174,9.64,-0.216,1.769,2.217,-1.162,-0.614,0.8298
2016-03-31,0.7211,-0.489,0.4368,-0.19,6.68,2.305,0.539,13.71575,9.355,-0.092,1.897,1.957,-0.957,-0.653,0.79
2016-04-29,0.7816,-0.485,0.524,-0.241,6.55,2.532,0.69,12.68785,9.375,-0.084,1.86,2.078,-0.886,-0.607,0.985
2016-05-31,0.877,-0.517,0.4276,-0.248,6.685,2.434,0.612,12.8561,9.41,-0.016,1.668,2.098,-0.897,-0.608,1.0002
2016-06-30,0.5817,-0.663,0.0908,-0.3,6.605,2.53,0.516,12.78325,9.255,-0.127,1.586,2.013,-1.186,-0.632,0.886
2016-07-29,0.6554,-0.632,0.1042,-0.26,6.45,2.423,0.537,12.52125,9.17,-0.168,1.509,1.821,-1.002,-0.671,0.9598
2016-08-31,0.8053,-0.625,0.1402,-0.201,6.435,2.342,0.574,12.38815,8.865,-0.345,1.437,1.81,-0.953,-0.645,1.132
2016-09-30,0.7619,-0.693,0.0997,-0.292,6.37,2.344,0.518,11.77135,8.545,-0.724,1.547,1.888,-1.047,-0.682,1.213
2016-10-31,0.8409,-0.626,0.257,-0.244,6.24,2.3,0.545,11.69195,8.68,-0.762,1.642,2,-1.035,-0.749,1.215
2016-11-30,1.113,-0.735,0.1222,-0.162,5.715,#N/A N/A,0.701,11.6962,8.76,-0.709,1.761,2.144,-1.017,-0.715,1.295
2016-12-30,1.1883,-0.8,0.0443,-0.185,5.75,#N/A N/A,0.744,11.03,8.235,-0.9,1.828,2.258,-1.067,-0.638,1.276
2017-01-31,1.2044,-0.71,0.1292,-0.209,5.99,2.701,0.769,10.3775,8.14,-0.517,1.777,2.305,-0.95,-0.544,1.285
2017-02-28,1.2601,-0.909,0.0944,-0.278,6.175,#N/A N/A,0.756,9.8475,8.485,-0.478,1.805,2.169,-1.021,-0.671,1.2896
2017-03-31,1.254,-0.75,0.1179,-0.195,5.99,#N/A N/A,0.746,9.58365,8.275,-0.381,1.749,2.139,-0.904,-0.607,1.175
2017-04-28,1.2619,-0.74,0.0714,-0.214,6.18,#N/A N/A,0.718,9.4888,8.095,-0.167,1.652,2.078,-0.909,-0.66,1.195
2017-05-31,1.2818,-0.723,0.1243,-0.163,5.95,#N/A N/A,0.692,9.47215,8.18,-0.347,1.546,1.924,-0.947,-0.719,1.115
2017-06-30,1.3817,-0.581,0.342,-0.125,5.73,#N/A N/A,1.1,9.0862,8.01,-0.178,1.729,2.065,-0.843,-0.639,1.125
2017-07-31,1.3491,-0.688,0.2622,-0.118,5.73,#N/A N/A,1.314,8.2517,8.04,-0.482,1.791,2.097,-0.824,-0.685,1.1275
2017-08-31,1.3255,-0.733,0.1692,-0.166,5.455,#N/A N/A,1.273,7.94315,7.775,-0.562,1.885,2.032,-0.871,-0.685,1.075
2017-09-29,1.4827,-0.697,0.4436,-0.126,5.675,#N/A N/A,1.515,7.93595,7.6,-0.256,1.954,2.086,-0.847,-0.694,1.085
2017-10-31,1.5997,-0.754,0.4541,-0.165,5.69,#N/A N/A,1.391,8.15295,7.475,0.06,1.821,2.002,-0.909,-0.783,1.07
2017-11-30,1.782,-0.69,0.5147,-0.163,5.745,#N/A N/A,1.429,8.1341,7.22,-0.051,1.735,1.913,-0.93,-0.858,1.035
2017-12-29,1.883,-0.639,0.4275,-0.141,5.965,#N/A N/A,1.685,7.78165,6.825,0.357,1.968,1.884,-0.962,-0.786,1.127
2018-01-31,2.1406,-0.535,0.6587,-0.139,6.245,3.566,1.835,7.691,6.84,0.429,2.026,1.93,-0.823,-0.753,1.23
2018-02-28,2.25,-0.548,0.774,-0.161,6.515,3.476,1.785,7.27795,6.39,0.366,1.996,1.886,-0.917,-0.456,1.4
2018-03-30,2.2661,-0.614,0.8179,-0.138,6.55,3.345,1.772,6.77305,6.31,0.673,2.013,1.862,-0.925,-0.48,1.507
2018-04-30,2.4879,-0.592,0.7717,-0.14,6.71,3.172,1.89,7.2124,6.66,0.619,2.042,1.878,-0.78,-0.55,1.485
2018-05-31,2.4274,-0.667,0.6047,-0.147,7.005,3.133,1.915,7.9748,6.775,0.793,1.981,1.846,-0.854,-0.575,1.3625
2018-06-29,2.5282,-0.674,0.719,-0.128,7.525,3.257,1.91,8.5414,7.09,1.014,1.985,1.803,-0.782,-0.56,1.445
2018-07-31,2.6694,-0.579,0.7669,-0.114,7.175,3.022,2.066,8.13325,7.19,1.15,2.069,1.819,-0.75,-0.495,1.5355
2018-08-31,2.6269,-0.611,0.7254,-0.12,7.35,3.094,2.066,8.9351,7.825,1.238,1.966,1.636,-0.78,-0.535,1.462
2018-09-28,2.8188,-0.532,0.8177,-0.12,7.525,3.174,2.211,8.57755,7.715,1.4,2.034,1.73,-0.734,-0.455,1.553
2018-10-31,2.8669,-0.624,0.7443,-0.128,7.47,3.067,2.335,7.4333,7.85,1.432,1.9738,1.73,-0.775,-0.437,1.585
2018-11-30,2.7865,-0.602,0.7636,-0.133,7,2.759,2.158,7.2385,7.885,1.502,1.9938,1.8,-0.788,-0.463,1.53
2018-12-31,2.4878,-0.62,0.7439,-0.147,7.05,2.713,1.86,7.7783,7.745,1.426,1.8998,1.699,-0.817,-0.397,1.525
2019-01-31,2.4576,-0.569,0.744,-0.169,6.95,2.601,1.773,7.3511,7.795,1.68,1.7955,1.702,-0.796,-0.432,1.5891
2019-02-28,2.5141,-0.528,0.8192,-0.158,6.98,#N/A N/A,1.778,7.5305,7.715,1.769,1.6925,1.661,-0.782,-0.382,1.59
2019-03-29,2.26,-0.611,0.6266,-0.18,6.52,2.618,1.546,7.50645,7.75,1.713,1.4617,1.419,-0.801,-0.512,1.678
2019-04-30,2.2661,-0.59,0.7575,-0.155,6.98,2.888,1.56,7.50865,7.67,1.642,1.3218,1.442,-0.792,-0.572,1.763
2019-05-31,1.9221,-0.673,0.595,-0.178,6.45,2.787,1.427,6.80485,7.315,1.639,1.1147,1.246,-0.847,-0.581,1.809
2019-06-28,1.7549,-0.758,0.6103,-0.224,6.32,2.794,1.471,6.0826,7.21,1.463,0.9775,1.152,-0.94,-0.621,1.79
2019-07-31,1.8721,-0.785,0.4271,-0.21,6.13,2.766,1.541,5.70315,6.865,1.02,0.8408,1.012,-1.07,-0.644,1.818
2019-08-30,1.504,-0.933,0.3843,-0.308,5.925,2.699,1.351,5.83035,6.705,1.004,0.7215,0.784,-1.165,-0.661,1.6791
2019-09-30,1.6217,-0.773,0.364,-0.324,6.375,2.677,1.577,5.274,6.555,1.177,0.7703,0.796,-0.909,-0.599,1.8647
2019-10-31,1.5239,-0.668,0.4986,-0.237,6.045,2.732,1.515,4.7107,6,1.171,0.821,0.864,-0.799,-0.41,1.945
2019-11-29,1.6119,-0.636,0.5399,-0.177,5.95,2.674,1.583,5.0369,5.85,1.418,0.6765,0.966,-0.82,-0.312,1.9644
2019-12-31,1.5691,-0.612,0.5307,-0.134,6.12,2.629,1.694,4.9234,5.64,1.595,0.9208,1.123,-0.777,-0.323,1.9825
2020-01-31,1.3132,-0.674,0.5,-0.156,5.92,2.483,1.428,4.68735,5.535,1.578,0.6545,0.999,-0.823,-0.315,1.784
2020-02-28,0.913,-0.776,0.3057,-0.259,5.475,2.217,1.152,4.2449,5.605,1.663,0.5463,0.799,-0.901,-0.339,1.545
2020-03-31,0.2455,-0.702,0.1233,-0.15,5.725,1.894,0.417,4.7913,6.235,0.789,0.2498,0.252,-0.679,-0.293,0.741
2020-04-30,0.1956,-0.777,0.0094,-0.181,4.95,1.315,0.305,4.27565,5.29,0.406,0.2178,0.15,-0.718,-0.231,0.57
2020-05-29,0.1603,-0.668,-0.0497,-0.163,4.52,1.8,0.284,3.78025,4.61,-0.026,0.2663,0.246,-0.701,-0.295,0.398
2020-06-30,0.1485,-0.695,-0.0905,-0.147,4.5,2.221,0.285,3.5772,4.445,-0.07,0.249,0.307,-0.723,-0.355,0.473
2020-07-31,0.1054,-0.72,-0.0734,-0.141,4.33,2.398,0.26,3.30845,4.355,0.008,0.266,0.3,-0.835,-0.31,0.423
2020-08-31,0.1309,-0.658,-0.0622,-0.113,4.62,2.503,0.272,3.61075,4.355,0.069,0.2522,0.099,-0.82,-0.354,0.473
2020-09-30,0.127,-0.705,-0.0272,-0.135,4.66,2.786,0.245,4.32315,4.42,-0.043,0.155,-0.012,-0.819,-0.37,0.431
2020-10-30,0.1525,-0.798,-0.0376,-0.127,4.49,2.845,0.26,4.90595,4.67,-0.078,0.1125,-0.025,-0.834,-0.421,0.48
2020-11-30,0.1485,-0.749,-0.0297,-0.127,4.47,2.95,0.249,4.881,4.545,-0.032,0.091,0.2,-0.811,-0.39,0.488
2020-12-31,0.1211,-0.715,-0.1734,-0.131,4.66,2.701,0.198,4.33845,4.49,0.01,0.0733,0.258,-0.839,-0.372,0.585
2021-01-29,0.1093,-0.738,-0.1124,-0.129,4.985,2.792,0.152,4.9323,4.655,0.157,0.105,0.189,-0.805,-0.375,0.658
2021-02-26,0.127,-0.668,0.1176,-0.123,5.1,2.758,0.296,5.7617,5.08,0.885,0.1195,0.365,-0.779,-0.263,0.775
2021-03-31,0.1603,-0.695,0.0965,-0.13,5.26,2.727,0.223,6.5524,5.63,0.955,0.0845,0.28,-0.806,-0.279,0.878
2021-04-30,0.1584,-0.69,0.0746,-0.128,5.13,2.633,0.299,6.45525,5.705,0.929,0.0788,0.25,-0.779,-0.294,0.836
2021-05-31,0.1407,-0.668,0.0574,-0.133,5.41,2.59,0.318,6.8422,6.175,1.071,0.0548,0.281,-0.796,-0.284,0.897
2021-06-30,0.2486,-0.667,0.057,-0.117,5.1,2.648,0.448,7.6967,6.835,1.245,0.0628,0.503,-0.777,-0.251,1.036
2021-07-30,0.1839,-0.767,0.054,-0.128,4.935,2.423,0.448,8.3987,6.76,1.326,0.0368,0.911,-0.779,-0.333,0.997
2021-08-31,0.2093,-0.722,0.2159,-0.131,4.73,2.458,0.422,9.04045,6.81,1.588,0.01,1.157,-0.762,-0.302,1.116
2021-09-30,0.2755,-0.695,0.4051,-0.128,5.01,2.473,0.527,9.6988,7.235,1.935,0.0425,1.215,-0.781,-0.291,1.329
2021-10-29,0.497,-0.591,0.7005,-0.102,5.51,2.488,1.093,12.45375,8.39,2.754,0.775,2.055,-0.7,-0.092,1.575
2021-11-30,0.565,-0.746,0.4702,-0.129,5.43,2.473,0.981,11.7024,8.655,2.798,0.6375,1.832,-0.788,-0.297,1.409
